query/response,user1,user2,user3
"q1 = ""به نام خداوند جان و خرد
کز این برتر اندیشه بر نگذرد""",,,
"اگر باد سرد نفس نگذرد
تف معده جان در خروش آورد",,,
"به نام خداوندِ جان‌آفرین
حکیمِ سخن‌درزبان‌آفرین",1,,
"در این کشور اندیشه کردم بسی
پریشان‌تر از خود ندیدم کسی",,,
عجب آن که غراب از مجاورت طوطی هم به جان آمده بود و ملول شده,,,
"هر آن کس که جور بزرگان نبرد
نسوزد دلش بر ضعیفان خرد",,,
"که درمانده‌ام دست گیر ای صنم
به جان آمدم رحم کن بر تنم",,,
یکی را زنی صاحب جمال جوان درگذشت و مادرزن فرتوت به علت کابین در خانه متمکن بماند و مرد از محاورت او به جان رنجیدی و از مجاورت او چاره ندیدی تا گروهی آشنایان به پرسیدن آمدندش,,,
"چو الب ارسلان جان به جان‌بخش داد
پسر تاج شاهی به سر برنهاد",,,
"ز دوران ملک پدر یاد کن
دل از بند اندیشه آزاد کن",,,
"وگر راست گفت ای خداوند پاک
مرا توبه ده تا نگردم هلاک",,,
"q2 = ""صورتی بنشینده گشتی ترجمان
بی‌خبر از گفت خود چون طوطیان""",,,
"نه مردم همین استخوانند و پوست
نه هر صورتی جان معنی در اوست",1,,
"اگر خود همین صورتی چون طلسم
بمیری و اسمت بمیرد چو جسم",,,
"یکی صورتی دید صاحب جمال
بگردیدش از شورش عشق حال",,,
"یکی طشت خاکسترش بی‌خبر
فرو ریختند از سرایی به سر",,,
وقت‌ها زمزمه‌ای بکردندی و بیتی محققانه بگفتندی، و عابدی در سبیل منکر حال درویشان بود و بی‌خبر از درد ایشان,,,
"از آن قطره لولوی لالا کند
وز این، صورتی سروبالا کند",,,
"مرا صورتی بر نیاید ز دست
که نقشش معلم ز بالا نبست",,,
"اگر مجنون لیلی زنده گشتی
حدیث عشق از این دفتر نبشتی",,,
"تو آگاه گشتی به بانگ مگس
نشاید اصم خواندنت زین سپس",,,
"تو کوته نظر بودی و سست رای
که مشغول گشتی به جغد از همای",,,
"q3 = ""تو نیکو روش باش تا بد سگال
نیابد به نقص تو گفتن مجال""",,,
"تو نیکو روش باش تا بد سگال
نیابد به نقص تو گفتن مجال",1,,
"تو نیکو روش باش تا بدسگال
به نقص تو گفتن نیابد مجال",1,,
"رهایی نیابد کس از دست کس
گرفتار را چاره صبر است و بس",,,
"نیامد کس اندر جهان کاو بماند
مگر آن کز او نام نیکو بماند",,,
"چو در غیب نیکو نهادت سرشت
نیاید ز خوی تو کردار زشت",,,
"ببخشای بر من که هرچ او کند
وگر قصد خون است نیکو کند",,,
بدخوی در دست ِ دشمنی گرفتار است که هر کجا رود از چنگ ِ عقوبت ِ او خلاص نیابد,,,
"چه نیکو زده‌ست این مثل پیر ده
ستور لگدزن گران بار به",,,
گفتا: به عزت عظیم و صحبت قدیم که دم بر نیارم و قدم بر ندارم مگر آن گه که سخن گفته شود به عادت مألوف و طریق معروف که آزردن دوستان جهل است و کفّارت یمین سهل و خلاف راه صواب است و نقص رای اولوالالباب ذوالفقار علی در نیام و زبان سعدی در کام,,,
"برش تنگدستی دو حرفی نبشت
که ای خوب فرجام نیکو سرشت",,,
"q4 = ""دلم خانهٔ مهر یار است و بس
از آن می‌نگنجد در او کین کس""",,,
"دلم خانهٔ مهر یار است و بس
از آن می‌نگنجد در او کین کس",1,,
"زرش داد و اسب و قبا پوستین
چه نیکو بود مهر در وقت کین",,,
"که گردد درونش به کین تو ریش
چو یاد آیدش مهر پیوند خویش",,,
"زمانی بر آشفت و گفت ای رفیق
به کار آید امروز یار شفیق",,,
"به خونش فرو برده دندان چو نیش
سرشته در او مهر خونخوار خویش",,,
"چه دانند مردم که در خانه کیست 
نویسنده داند که در نامه چیست",,,
"با بدان یار گشت همسر لوط 
خاندان نبوّتش گم شد",,,
"دوش چون طاووس می نازیدم اندر باغ وصل
دیگر امروز از فراق یار می پیچم چو مار",,,
"بفرمود کشتن به شمشیر کین
که ناپاک بودند و ناپاک دین",,,
"یا مرو با یار ازرق پیرهن
یا بکش بر خان و مان انگشت نیل",,,
"q5 = ""عجب ناید از سیرت بخردان
که نیکی کنند از کرم با بدان""",,,
"عجب ناید از سیرت بخردان
که نیکی کنند از کرم با بدان",1,,
"کرم کرد و غم خورد و پوزش نمود
بد اندیش را دل به نیکی ربود",1,,
"نه ابلیس بد کرد و نیکی ندید؟
بر پاک ناید ز تخم پلید",,,
"«کرم» خوانده‌ام سیرت سروران
غلط گفتم، اخلاق پیغمبران",,,
"نه در خورد سرمایه کردی کرم
تنک مایه بودی از این لاجرم",,,
قومی بر این نمط که شنیدی، و طایفه‌ای خوان نعمت نهاده و دست کرم گشاده، طالب نامند و معرفت و صاحب دنیا و آخرت، چون بندگان حضرت پادشاه عالم عادل مؤید مظفر منصور، مالک ازمّهٔ اَنام، حامی ثغور اسلام، وارث ملک سلیمان، اعدل ملوک زمان، مظفر الدنیا و الدین، اتابک ابی بکر سعد ادام الله ایامه و نصر اعلامه,,,
هارون گفت: ای پسر کرم آن است که عفو کنی و اگر نتوانی تو نیزش دشنام مادر ده نه چندان که انتقام از حد در گذرد آنگاه ظلم از طرف ما باشد و دعوی از قِبل خصم,,,
"کسی نیک بیند به هر دو سرای
که نیکی رساند به خلق خدای",1,,
"کرم ورزد آن سر که مغزی در اوست
که دون همتانند بی مغز و پوست",1,,
همگان در مواجب استخلاص او سعی کردند و موکلان در معاقبتش ملاطفت نمودند و بزرگان شکر سیرت خوبش به افواه بگفتند تا ملک از سر عتاب او در گذشت,,,
"q6 = ""شب پره گر وصل آفتاب نخواهد
رونق بازار آفتاب نکاهد""",,,
"شب پره گر وصل آفتاب نخواهد
رونق بازار آفتاب نکاهد",1,,
از ضعف بشریت تاب آفتاب هجیر نیاوردم و التجا به سایهٔ دیواری کردم، مترقب که کسی حر تموز از من به برد آبی فرو نشاند که همی ناگاه از ظلمت دهلیز خانه‌ای روشنی بتافت، یعنی جمالی که زبان فصاحت از بیان صباحت او عاجز آید، چنان که در شب تاری صبح بر آید یا آب حیات از ظلمات به در آید، قدحی برفاب بر دست و شکر در آن ریخته و به عرق بر آمیخته، ندانم به گلابش مطیّب کرده بود یا قطره‌ای چند از گل رویش در آن چکیده,,,
"شب سردشان دیده نابرده خواب
چو حربا تأمل کنان آفتاب",,,
صاحبدلی را گفتند: بدین خوبی که آفتاب است نشنیده‌ایم که کس او را دوست گرفته است و عشق آورده,,,
"دمی رفت تا چشمهٔ آفتاب
ز چشم خلایق فرو شست خواب",,,
"که گر آفتاب است یک ذره نیست
وگر هفت دریاست یک قطره نیست",,,
"ز مشرق به مغرب مه و آفتاب
روان کرد و بنهاد گیتی بر آب",,,
"آنگه بغلی نعوذ بالله 
مردار به آفتاب مرداد",,,
"کشیشان هرگز نیازرده آب
بغلها چو مردار در آفتاب",,,
"گر به جای نانش اندر سفره بودی آفتاب
تا قیامت روز روشن کس ندیدی در جهان",,,
"q7 = ""هر که بی او به سر نشاید برد
گر جفایی کند بباید برد""",,,
"هر که بی او به سر نشاید برد
گر جفایی کند بباید برد",1,,
"اگر خود روز را گوید شب است این 
بباید گفتن آنک ماه و پروین",,,
تا کار به زر برمی‌آید جان در خطر افکندن نشاید,,,
"اگر جز تو داند که عزم تو چیست
بر آن رای و دانش بباید گریست",,,
"ولیکن چو پیدا شود راز مرد
به کوشش نشاید نهان باز کرد",,,
"دریغ است روی از کسی تافتن
که دیگر نشاید چنو یافتن",,,
